,0
1960Q1,12.7259393468789
1960Q2,12.8265964942554
1960Q3,12.85535567922
1960Q4,12.9272536416318
1961Q1,12.9416332341141
1961Q2,12.9416332341141
1961Q3,12.9991516040435
1961Q4,13.0279107890082
1962Q1,13.0422903814906
1962Q2,13.1141883439023
1962Q3,13.142947528867
1962Q4,13.2004658987964
1963Q1,13.2148454912788
1963Q2,13.2579842687258
1963Q3,13.3298822311376
1963Q4,13.387400601067
1964Q1,13.4161597860317
1964Q2,13.430539378514
1964Q3,13.4880577484434
1964Q4,13.5311965258905
1965Q1,13.5599557108552
1965Q2,13.6606128582316
1965Q3,13.718131228161
1965Q4,13.7756495980904
1966Q1,13.8763067454668
1966Q2,14.0344822627727
1966Q3,14.1638985951138
1966Q4,14.2789353349726
1967Q1,14.293314927455
1967Q2,14.4083516673138
1967Q3,14.5377679996549
1967Q4,14.667184331996
1968Q1,14.8109802568195
1968Q2,14.9835353666077
1968Q3,15.1848496613606
1968Q4,15.3574047711488
1969Q1,15.5443394734193
1969Q2,15.8031721381016
1969Q3,16.0332456178192
1969Q4,16.2633190975368
1970Q1,16.479012984772
1970Q2,16.7522252419366
1970Q3,16.9391599442072
1970Q4,17.1692334239248
1971Q1,17.2986497562659
1971Q2,17.5143436435011
1971Q3,17.672519160807
1971Q4,17.7731763081834
1972Q1,17.9169722330069
1972Q2,18.0607681578304
1972Q3,18.2189436751362
1972Q4,18.3771191924421
1973Q1,18.6503314496067
1973Q2,19.0385804466301
1973Q3,19.4699682211006
1973Q4,19.9301151805358
1974Q1,20.476539694865
1974Q2,21.051723394159
1974Q3,21.6988050558647
1974Q4,22.3458867175704
1975Q1,22.7485153070762
1975Q2,23.0936255266526
1975Q3,23.5969112635348
1975Q4,23.9707806680759
1976Q1,24.2008541477935
1976Q2,24.5028255899228
1976Q3,24.8766949944639
1976Q4,25.1642868441108
1977Q1,25.624433803546
1977Q2,26.1564787253929
1977Q3,26.5447277224163
1977Q4,26.8323195720633
1978Q1,27.2780869390162
1978Q2,28.011446155616
1978Q3,28.6441482248393
1978Q4,29.2193319241333
1979Q1,29.9814503256978
1979Q2,31.0311605769092
1979Q3,32.0952504206031
1979Q4,32.9724055620264
1980Q1,34.2521892929554
1980Q2,35.5032138389198
1980Q3,36.1934342780726
1980Q4,37.1424873819076
1981Q1,38.105920078225
1981Q2,38.9686956271659
1981Q3,40.0759242483068
1981Q4,40.6079691701537
1982Q1,40.909940612283
1982Q2,41.5282630890241
1982Q3,42.347899860518
1982Q4,42.4197978229297
1983Q1,42.3622794530003
1983Q2,42.8943243748472
1983Q3,43.3688509267647
1983Q4,43.6564427764117
1984Q1,43.8865162561293
1984Q2,44.202867290741
1984Q3,44.8930877298937
1984Q4,45.1950591720231
1985Q1,45.4682714291877
1985Q2,46.014695943517
1985Q3,46.3022877931639
1985Q4,46.7049163826697
1986Q1,46.7768143450815
1986Q2,46.5755000503286
1986Q3,46.8918510849403
1986Q4,47.1075449721755
1987Q1,47.6683490789871
1987Q2,48.3010511482105
1987Q3,48.8618552550221
1987Q4,49.2644838445278
1988Q1,49.5089369167278
1988Q2,50.1272593934688
1988Q3,50.8174798326215
1988Q4,51.3495247544685
1989Q1,51.867190083833
1989Q2,52.7874840027034
1989Q3,53.2044921846915
1989Q4,53.6646391441267
1990Q1,54.5561738780323
1990Q2,55.0882187998792
1990Q3,56.0372719037142
1990Q4,56.9863250075493
1991Q1,57.3170556346433
1991Q2,57.6909250391844
1991Q3,58.1079332211725
1991Q4,58.539320995643
1992Q1,58.870051622737
1992Q2,59.3877169521016
1992Q3,59.8622435040191
1992Q4,60.2792516860072
1993Q1,60.6962598679954
1993Q2,61.1851660123952
1993Q3,61.4152394921128
1993Q4,61.8322476741009
1994Q1,62.1198395237479
1994Q2,62.5512272982184
1994Q3,63.155170182477
1994Q4,63.4859008095711
1995Q1,63.9604273614886
1995Q2,64.5356110607825
1995Q3,64.8088233179472
1995Q4,65.1107947600765
1996Q1,65.6859784593705
1996Q2,66.3905784910056
1996Q3,66.7069295256173
1996Q4,67.1958356700171
1997Q1,67.5984642595229
1997Q2,67.8429173317228
1997Q3,68.1017499964051
1997Q4,68.3318234761227
1998Q1,68.3893418460521
1998Q2,68.7775908430755
1998Q3,69.0220439152754
1998Q4,69.3096357649224
1999Q1,69.5253296521577
1999Q2,70.2155500913104
1999Q3,70.7188358281926
1999Q4,71.2077419725925
2000Q1,71.8979624117452
2000Q2,72.6744604057921
2000Q3,73.206505327639
2000Q4,73.6522726945918
2001Q1,74.2993543562976
2001Q2,75.1333707202738
2001Q3,75.1189911277914
2001Q4,74.8601584631091
2002Q1,75.0039543879326
2002Q2,75.8523503443912
2002Q3,76.1687013790029
2002Q4,76.4562932286499
2003Q1,77.2471708151791
2003Q2,77.4772442948967
2003Q3,77.779215737026
2003Q4,77.7648361445437
2004Q1,78.4694361761788
2004Q2,79.591044389802
2004Q3,79.8498770544843
2004Q4,80.4250607537782
2005Q1,80.8420689357664
2005Q2,82.0068159268366
2005Q3,83.1284241404599
2005Q4,83.5598119149303
2006Q1,83.9049221345067
2006Q2,85.4147793451534
2006Q3,85.8749263045886
2006Q4,84.9833915706829
2007Q1,85.8051852810491
2007Q2,87.6719439771077
2007Q3,87.8288253310901
2007Q4,88.5791524668191
2008Q1,89.605711574134
2008Q2,91.8437513480868
2008Q3,92.9620522554391
2008Q4,89.7705017039817
2009Q1,89.0996937146801
2009Q2,90.2565319298851
2009Q3,91.0233955969688
2009Q4,91.3470802237464
2010Q1,91.8333980414995
