,CPI,quarter,GDP,INT,UNEMP,SPENDING_PERCENT_OF_GDP,CURRENCY
1,96.4791719691185,2012Q1,522590.3,0.3,4.73333333333333,19.9573325085164,78.9820022583008
2,96.5470433528464,2012Q2,517793.9,0.3,4.63333333333333,19.9573325085164,78.5299987792969
3,95.9701365911598,2012Q3,515853.6,0.3,4.5,19.9573325085164,82.1510009765625
4,95.9022652074319,2012Q4,515474.8,0.3,4.36666666666667,19.9573325085164,92.3030014038086
5,95.8343938237041,2013Q1,522626.6,0.3,4.4,19.854370134417,101.099998474121
6,96.275557817935,2013Q2,527332.3,0.3,4.3,19.854370134417,98.1500015258789
7,96.8185288877577,2013Q3,532396.8,0.3,4.13333333333333,19.854370134417,102.430000305176
8,97.2596928819886,2013Q4,531720.2,0.3,4.06666666666667,19.854370134417,102.110000610352
9,97.2936285738526,2014Q1,536081.6,0.3,3.8,19.9261773555302,101.832992553711
10,99.7030626961907,2014Q2,526409.7,0.3,3.8,19.9261773555302,104.11799621582
11,100.076355306694,2014Q3,526850,0.3,3.73333333333333,19.9261773555302,118.825996398926
12,99.7709340799186,2014Q4,529274,0.3,3.6,19.9261773555302,119.617225646973
13,99.5333842368711,2015Q1,537512.6,0.3,3.66666666666667,19.617744139153,123.819999694824
14,100.279969457877,2015Q2,538249.9,0.3,3.5,19.617744139153,121.289001464844
15,100.178162382286,2015Q3,538774.2,0.3,3.5,19.617744139153,122.830001831055
16,100.008483922966,2015Q4,537861.7,0.3,3.43333333333333,19.617744139153,113.660003662109
17,99.5673199287351,2016Q1,541875.9,0.3,3.4,19.6572481017318,110.841003417969
18,99.9066768473742,2016Q2,541024.3,0.3,3.33333333333333,19.6572481017318,102.86799621582
19,99.7030626961907,2016Q3,542102.3,0.3,3.2,19.6572481017318,112.470001220703
20,100.313905149741,2016Q4,542916.4,0.3,3.16666666666667,19.6572481017318,112.745002746582
21,99.9066768473742,2017Q1,547326.9,0.3,3.03333333333333,19.4117955495929,110.838996887207
22,100.313905149741,2017Q2,549221.2,0.3,3.03333333333333,19.4117955495929,110.459999084473
23,100.313905149741,2017Q3,553882.6,0.3,2.96666666666667,19.4117955495929,112.001998901367
24,100.890811911428,2017Q4,554519.2,0.3,2.83333333333333,19.4117955495929,107.426002502441
25,101.196233138203,2018Q1,555050.2,0.3,2.66666666666667,19.5755911714278,108.71199798584
26,100.99261898702,2018Q2,556734.7,0.3,2.5,19.5755911714278,110.999000549316
27,101.433782981251,2018Q3,553944.1,0.3,2.56666666666667,19.5755911714278,113.411003112793
28,101.77313989989,2018Q4,553198.2,0.3,2.6,19.5755911714278,110.861999511719
29,101.501654364978,2019Q1,554377.4,0.3,2.6,19.9265628536314,109.357002258301
30,101.739204208026,2019Q2,556165.3,0.3,2.5,19.9265628536314,106.438003540039
31,101.77313989989,2019Q3,557453.5,0.3,2.36666666666667,19.9265628536314,109.444999694824
32,102.282175277848,2019Q4,542160.3,0.3,2.4,19.9265628536314,108.136001586914
33,102.180368202257,2020Q1,544428,0.3,2.56666666666667,21.0320662024389,107.76000213623
34,101.874946975481,2020Q2,501178.8,0.3,2.86666666666667,21.0320662024389,105.535003662109
35,101.807075591754,2020Q3,529388.2,0.3,3.1,21.0320662024389,104.082000732422
36,101.331975905659,2020Q4,539350.6,0.3,3.16666666666667,21.0320662024389,106.529998779297
37,101.637397132434,2021Q1,538460.2,0.3,3.03333333333333,21.4190126293905,109.906997680664
38,101.128361754475,2021Q2,540331.2,0.3,3.03333333333333,21.4190126293905,109.944000244141
39,101.637397132434,2021Q3,538396,0.3,2.9,21.4190126293905,113.804000854492
40,101.841011283618,2021Q4,544376.8,0.3,2.83333333333333,21.4190126293905,115.584999084473
41,102.519725120896,2022Q1,541843.6,0.3,2.86666666666667,21.785419261,127.783996582031
42,102.3,2022Q2,548075.3,0.3,2.76666666666667,21.698113379,138.733993530273
43,102.3,2022Q3,546607.5,0.3,2.7,21.772515013,138.744995117188
44,102.3,2022Q4,546735.1,0.3,2.63333333333333,21.823201034,136.317001342773
45,104.35,2023Q1,545094.8947,0.3,2.5,21.80686,133.085006713867
