YEAR,SPENDING_PERCENT_OF_GDP
2011,-0.10
2012,-0.30
2013,-0.84
2014,-0.68
2015,-2.54
2016,-3.39
2017,-3.40
2018,-4.28
2019,-6.10
2020,-9.72
2021,-6.04
2022,-7.54
2023*,-6.88
2024*,-6.40
2025*,-6.32
2026*,-6.19
2027*,-6.07
2028*,-6.01
