DATE,SPENDING_PERCENT_OF_GDP
1996Q1,-1.33072
1996Q2,-1.33072
1996Q3,-1.33072
1996Q4,-1.33072
1997Q1,-0.25513
1997Q2,-0.25513
1997Q3,-0.25513
1997Q4,-0.25513
1998Q1,0.76433
1998Q2,0.76433
1998Q3,0.76433
1998Q4,0.76433
1999Q1,1.3042
1999Q2,1.3042
1999Q3,1.3042
1999Q4,1.3042
2000Q1,2.30458
2000Q2,2.30458
2000Q3,2.30458
2000Q4,2.30458
2001Q1,1.21184
2001Q2,1.21184
2001Q3,1.21184
2001Q4,1.21184
2002Q1,-1.44347
2002Q2,-1.44347
2002Q3,-1.44347
2002Q4,-1.44347
2003Q1,-3.29583
2003Q2,-3.29583
2003Q3,-3.29583
2003Q4,-3.29583
2004Q1,-3.37825
2004Q2,-3.37825
2004Q3,-3.37825
2004Q4,-3.37825
2005Q1,-2.44145
2005Q2,-2.44145
2005Q3,-2.44145
2005Q4,-2.44145
2006Q1,-1.79638
2006Q2,-1.79638
2006Q3,-1.79638
2006Q4,-1.79638
2007Q1,-1.11026
2007Q2,-1.11026
2007Q3,-1.11026
2007Q4,-1.11026
2008Q1,-3.10465
2008Q2,-3.10465
2008Q3,-3.10465
2008Q4,-3.10465
2009Q1,-9.75744
2009Q2,-9.75744
2009Q3,-9.75744
2009Q4,-9.75744
2010Q1,-8.60107
2010Q2,-8.60107
2010Q3,-8.60107
2010Q4,-8.60107
2011Q1,-8.33091
2011Q2,-8.33091
2011Q3,-8.33091
2011Q4,-8.33091
2012Q1,-6.62345
2012Q2,-6.62345
2012Q3,-6.62345
2012Q4,-6.62345
2013Q1,-4.0359
2013Q2,-4.0359
2013Q3,-4.0359
2013Q4,-4.0359
2014Q1,-2.76225
2014Q2,-2.76225
2014Q3,-2.76225
2014Q4,-2.76225
2015Q1,-2.42755
2015Q2,-2.42755
2015Q3,-2.42755
2015Q4,-2.42755
2016Q1,-3.12729
2016Q2,-3.12729
2016Q3,-3.12729
2016Q4,-3.12729
2017Q1,-3.41653
2017Q2,-3.41653
2017Q3,-3.41653
2017Q4,-3.41653
2018Q1,-3.79456
2018Q2,-3.79456
2018Q3,-3.79456
2018Q4,-3.79456
2019Q1,-4.60033
2019Q2,-4.60033
2019Q3,-4.60033
2019Q4,-4.60033
2020Q1,-14.87363
2020Q2,-14.87363
2020Q3,-14.87363
2020Q4,-14.87363
2021Q1,-11.90371
2021Q2,-11.90371
2021Q3,-11.90371
2021Q4,-11.90371
2022Q1,-5.40368
2022Q2,-5.40368
2022Q3,-5.40368
2022Q4,-5.40368
